job_title,job_company,job_location,job_time,job_antiquity,job_type,job_url,job_sector,job_role
CONSULTOR DATA SCIENCE JUNIOR,Management Solutions,"Provincia de Buenos Aires, Argentina",Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-data-science-junior-at-management-solutions-2164726402?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=zjFsDZowBmvSrpjzyKycyQ%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Consultoría
CONSULTOR DATA SCIENCE JUNIOR,Management Solutions,"Provincia de Buenos Aires, Argentina",Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/consultor-data-science-junior-at-management-solutions-2164726402?refId=4250b5a5-8b4d-43bd-8ff4-1785834000e3&trackingId=%2FY%2Bb36sWXN8%2Bss6eBrJQaQ%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Consultoría
Data & Applied Scientist,Microsoft,Argentina,Hace 2 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-applied-scientist-at-microsoft-2320332293?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=9JOAYMEsTRLVYysuYrXIuw%3D%3D&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Equipos informáticos,Otro
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=2EJsshBL712AnaGkr%2Bad1A%3D%3D&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
Jr. Developer,Avature,"La Plata, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/jr-developer-at-avature-2323570941?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=SNB0nSbPLFb5ctx%2FWpa%2F7w%3D%3D&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Technical Solutions Consultant,Google,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/technical-solutions-consultant-at-google-2272639721?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=67%2B5rIPwgfD0eIpWs%2BWx%2Bw%3D%3D&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicio de información,Tecnología de la información
Data & Applied Scientist,Microsoft,Argentina,Hace 2 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-applied-scientist-at-microsoft-2320332293?refId=b9821e17-0514-4e71-8519-e5b02ff1e415&trackingId=fo64ZtJCe4edzY4U8aEPDA%3D%3D&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Equipos informáticos,Otro
Data & Applied Scientist,Microsoft,Argentina,Hace 2 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-applied-scientist-at-microsoft-2320332293?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=U6yhNb5HgGbcuUpS7jqUwQ%3D%3D&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Equipos informáticos,Otro
Desarrolladora / Desarrollador de Software Backend para IT BOOTCAMP,Mercado Libre,Argentina,Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/desarrolladora-desarrollador-de-software-backend-para-it-bootcamp-at-mercado-libre-2314359497?refId=733ad350-7e9b-4db2-8806-4383678b27b6&trackingId=y5Fk0kXB7wg3U9fnfn%2FOdA%3D%3D&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Tecnología de la información
Jr. Developer,Avature,"La Plata, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/jr-developer-at-avature-2323570941?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=bg9U%2FsWA9Ysjund%2BV%2Bl9Rg%3D%3D&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
